SNo.,Investor Name,Domain Name,Overview,Founded Year,Country,State,City,Description,Investor Type,Practice Areas,Feed Name,Business Models,Investment Score,Website,LinkedIn,Twitter
17,Mitsubishi UFJ Capital,mucap.co.jp,"Corporate-backed venture capital firm focused on AI, energy, and multiple sectors",1974,"Japan,; Japan,; Japan","Tokyo,; Osaka,; Aichi","Tokyo,; Osaka,; Nagoya",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,54.95680654259999,https://www.mucap.co.jp,https://linkedin.com/company/mitsubishi-hc-capital-malaysia-sdn-bhd,
21,SMBC Venture Capital,smbc-vc.co.jp,Venture capital fund focused on investing in early-stage startups,1992,"Japan,; Japan","Tokyo,; Osaka","Chuo City,; Osaka","Venture capital fund focused on investing in early-stage startups. Early-stage corporate venture capital firm investing in multiple sectors. The firm actively invests in tech sectors which include SaaS, artificial intelligence, fintech, and ad tech. It also invests in life-sciences sectors such as biopharma and biotech.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.15423994835,https://www.smbc-vc.co.jp,,
28,Beenext,beenext.com,Early-stage venture capital fund,2015,Singapore,Singapore,Singapore,Early-stage venture capital fund. Its focused on industry-agnostic which enables them to tap into the diverse pool of founders.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,82.1419892966,https://www.beenext.com/,https://linkedin.com/company/beenext-com,https://twitter.com/beenextvc
30,East Ventures,east.vc,Venture capital fund focused on early-stage startups,2009,"Japan,; Singapore,; Indonesia","Tokyo,; Singapore,; Jakarta","Tokyo,; Singapore,; Jakarta",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Micro VCs,71.2062988743,https://east.vc,https://linkedin.com/company/eastventures,http://twitter.com/eastventures
32,SBI Investment,sbinvestment.co.jp,Venture capital investment fund,1996,Japan,Tokyo,Minato City,"Venture capital investment fund. It t operates and manages venture capital funds under the management philosophy of becoming a leading company that will create and develop core industries. It handles a variety of internet financial services such as banking, securities, and insurance, it support the business development and growth of unlisted venture companies through fund investments.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,57.99266880315,https://www.sbinvestment.co.jp,https://linkedin.com/company/sbi-investment,
33,Pitango,pitango.com,"Venture capital firm focused on foodtech, adtech, healthtech, and multiple sectors",1993,Israel,Tel Aviv,Herzliya,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,62.69567224015,https://www.pitango.com/,https://linkedin.com/company/pitango-vc,https://twitter.com/pitango
34,Global Brain,globalbrains.com,"Venture capital fund and accelerator focused on blockchain, SaaS, fintech, space, media, and multiple sectors",1998,Japan,Tokyo,Shibuya,"Venture capital fund and accelerator focused on blockchain, SaaS, fintech, space, media, and multiple sectors. They provide support for startups through strategy design, driving collaborations, product development, planning sales strategy, marketing, PR, building business infrastructure, and exit strategies.",Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Specialized > Industry Focused > Multi-Sector",63.40815999720001,https://globalbrains.com/en,https://linkedin.com/company/globalbrain,https://twitter.com/globalbrains_jp
36,Gobi Partners,gobi.vc,Venture capital firm investing in early-stage tech startups,2002,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Venture capital firm investing in early-stage tech startups. Focused on investing across multiple sectors.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,75.77041496765001,https://gobi.vc,https://linkedin.com/company/gobipartners,https://twitter.com/gobipartners
39,500 Global,500.co,Venture capital and accelerator firm focused on tech startups,2010,"Vietnam,; United States","Ho Chi Minh City,; California","Ho Chi Minh City,; San Francisco","Venture capital and accelerator firm focused on tech startups. Sector and geography-agnostic accelerator and venture capital firm that focuses on investing in technology startups in multiple sectors like health tech, consumer tech, gaming, sports, and more.",Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Sector Agnostic > Startup Studio",59.409744735450005,https://500.co,https://linkedin.com/company/500global,https://twitter.com/500globalvc
41,SBVA,sbvacorp.com,Early-stage venture capital arm of SoftBank Group,2000,South Korea,Seoul,Seoul,Early-stage venture capital arm of SoftBank Group. It invests in early to growth-stage startups.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,80.7089175828,https://sbvacorp.com/ko,https://linkedin.com/company/sbva,
